country_name,year,malaria_incidence,life_expectancy,under5_mortality,hiv_prevalence,undernourishment
Canada,2005,NULL,80.113,6.10,0.20,2.50
Canada,2006,NULL,80.544,6.00,0.20,2.50
Canada,2007,NULL,80.544,6.00,0.20,2.50
Canada,2008,NULL,80.725,5.90,0.20,2.50
Canada,2009,NULL,81.066,5.80,0.20,2.50
Canada,2010,NULL,81.322,5.70,0.20,2.50
Canada,2011,NULL,81.483,5.60,0.20,2.50
Canada,2012,NULL,81.664,5.60,0.20,2.50
Canada,2013,NULL,81.745,5.50,0.20,2.50
Canada,2014,NULL,81.784,5.40,0.20,2.50
Canada,2015,NULL,81.826,5.40,0.20,2.50
Canada,2016,NULL,81.940,5.30,0.20,2.50
Canada,2017,NULL,81.813,5.20,0.20,2.50
Canada,2018,NULL,81.809,5.20,0.20,2.50
Canada,2019,NULL,82.164,5.10,0.20,2.50
Canada,2020,NULL,81.535,5.10,0.20,2.50
Canada,2021,NULL,81.517,5.10,0.10,2.50
Canada,2022,NULL,81.245,5.10,0.10,2.50
Canada,2023,NULL,81.647,5.10,NULL,2.50
Finland,2005,NULL,78.817,3.70,NULL,2.50
Finland,2006,NULL,79.215,3.60,NULL,2.50
Finland,2007,NULL,79.263,3.50,NULL,2.50
Finland,2008,NULL,79.568,3.30,NULL,2.50
Finland,2009,NULL,79.720,3.20,NULL,2.50
Finland,2010,NULL,79.871,3.00,NULL,2.50
Finland,2011,NULL,80.471,2.90,NULL,2.50
Finland,2012,NULL,80.627,2.80,NULL,2.50
Finland,2013,NULL,80.976,2.60,NULL,2.50
Finland,2014,NULL,81.180,2.60,NULL,2.50
Finland,2015,NULL,81.480,2.50,NULL,2.50
Finland,2016,NULL,81.429,2.40,NULL,2.50
Finland,2017,NULL,81.632,2.40,NULL,2.50
Finland,2018,NULL,81.734,2.40,NULL,2.50
Finland,2019,NULL,81.983,2.30,NULL,2.50
Finland,2020,NULL,81.932,2.30,NULL,2.50
Finland,2021,NULL,81.885,2.30,NULL,2.50
Finland,2022,NULL,81.188,2.30,NULL,2.50
Finland,2023,NULL,81.685,2.30,NULL,2.50
Indonesia,2005,5.14,67.531,41.40,0.20,18.40
Indonesia,2006,5.92,67.664,39.60,0.20,18.10
Indonesia,2007,5.28,67.914,38.00,0.20,17.50
Indonesia,2008,5.28,68.085,36.40,0.30,16.50
Indonesia,2009,5.28,68.267,35.00,0.30,15.00
Indonesia,2010,8.09,68.364,33.60,0.30,12.90
Indonesia,2011,7.26,68.629,32.20,0.30,10.90
Indonesia,2012,7.11,68.862,31.00,0.30,9.50
Indonesia,2013,5.98,69.064,29.70,0.30,8.30
Indonesia,2014,4.49,69.292,28.60,0.40,7.80
Indonesia,2015,3.97,69.520,27.40,0.40,7.10
Indonesia,2016,4.11,69.733,26.40,0.40,6.60
Indonesia,2017,2.78,69.953,25.40,0.40,6.00
Indonesia,2018,2.45,70.080,24.50,0.40,6.00
Indonesia,2019,1.96,70.349,23.60,0.40,6.40
Indonesia,2020,1.93,68.817,22.80,0.40,6.60
Indonesia,2021,1.56,67.452,22.00,0.40,6.60
Indonesia,2022,1.99,70.925,21.30,0.40,6.60
Indonesia,2023,1.81,71.146,20.60,0.40,6.30
Malaysia,2005,5.39,74.370,8.30,0.40,3.20
Malaysia,2006,5.01,74.697,8.30,0.40,3.40
Malaysia,2007,3.75,74.961,8.20,0.40,3.60
Malaysia,2008,5.51,75.151,8.20,0.40,3.60
Malaysia,2009,5.29,75.269,8.20,0.40,3.80
Malaysia,2010,4.53,75.376,8.10,0.40,3.50
Malaysia,2011,3.39,75.488,8.10,0.40,3.40
Malaysia,2012,3.09,75.552,8.00,0.40,3.50
Malaysia,2013,0.85,75.464,8.10,0.40,3.70
Malaysia,2014,0.49,75.345,8.10,0.40,3.80
Malaysia,2015,0.19,75.288,8.10,0.40,3.70
Malaysia,2016,0.21,75.371,8.20,0.40,3.30
Malaysia,2017,0.07,75.542,8.20,0.30,3.10
Malaysia,2018,0.00,75.734,8.20,0.30,2.90
Malaysia,2019,0.00,75.900,8.20,0.30,2.80
Malaysia,2020,0.00,76.057,8.10,0.30,2.70
Malaysia,2021,0.00,73.917,8.10,0.30,2.50
Malaysia,2022,0.00,75.444,8.10,0.30,2.50
Malaysia,2023,0.00,76.657,8.10,0.30,2.50
Uganda,2005,426.27,54.926,107.00,7.50,18.80
Uganda,2006,425.62,56.118,99.70,7.40,19.20
Uganda,2007,417.91,57.248,93.00,7.30,19.60
Uganda,2008,417.70,58.253,86.90,7.20,19.80
Uganda,2009,422.80,59.157,81.40,7.20,18.70
Uganda,2010,405.97,59.959,76.10,7.20,17.60
Uganda,2011,382.90,60.791,71.00,7.10,17.70
Uganda,2012,349.79,61.579,66.70,7.10,19.60
Uganda,2013,310.27,62.353,62.40,7.00,21.30
Uganda,2014,292.11,63.057,59.10,6.90,23.80
Uganda,2015,288.70,63.831,55.80,6.80,30.60
Uganda,2016,281.02,64.494,52.50,6.60,35.40
Uganda,2017,276.51,65.174,49.80,6.50,35.50
Uganda,2018,269.21,65.775,47.40,6.30,35.90
Uganda,2019,250.82,66.354,45.30,6.10,33.10
Uganda,2020,255.66,66.410,43.50,5.80,33.10
Uganda,2021,268.61,66.450,41.80,5.60,25.60
Uganda,2022,266.58,67.675,40.50,5.40,24.20
Uganda,2023,267.57,68.252,38.80,5.20,22.00
